,108.956
1178,109.162
1179,109.208
1180,109.109
1181,109.199
1182,109.151
1183,109.23
1184,109.133
1185,109.199
1186,109.067
1187,109.199
1188,109.191
1189,109.209
1190,109.229
1191,109.187
1192,108.996
1193,109.064
1194,109.136
1195,109.064
1196,108.997
1197,109.125
1198,109.064
1199,109.182
1200,109.016
1201,109.145
1202,109.074
1203,109.115
1204,109.151
1205,109.068
1206,109.085
1207,109.138
1208,109.11
1209,109.152
1210,109.128
1211,109.117
1212,109.134
1213,109.196
1214,109.104
1215,109.096
1216,109.185
1217,109.125
1218,109.107
1219,109.115
1220,109.145
1221,109.064
1222,109.091
1223,109.125
1224,109.153
1225,109.158
1226,109.061
1227,109.078
1228,109.141
1229,109.176
1230,109.122
1231,109.053
1232,109.114
1233,109.204
1234,109.127
1235,109.128
1236,109.04
1237,109.142
1238,109.102
1239,109.132
1240,109.099
1241,109.078
1242,109.212
1243,109.127
1244,109.149
1245,109.062
1246,109.121
1247,109.133
1248,109.082
1249,109.147
1250,109.156
1251,109.159
1252,109.105
1253,109.093
1254,109.17
1255,109.184
1256,109.117
1257,109.146
1258,109.07
1259,109.117
1260,109.101
1261,109.136
1262,109.109
1263,109.196
1264,109.027
1265,109.154
1266,109.028
1267,109.115
1268,109.194
1269,109.103
1270,109.156
1271,109.068
1272,109.063
1273,109.158
1274,109.146
1275,109.047
1276,109.103
1277,109.136
1278,109.081
1279,109.182
1280,109.134
1281,109.161
1282,109.098
1283,109.121
1284,109.096
1285,109.156
1286,109.218
1287,109.103
1288,109.117
1289,109.096
1290,109.043
1291,109.205
1292,109.024
1293,109.08
1294,109.143
1295,109.111
1296,108.996
1297,109.122
1298,109.048
1299,109.095
1300,109.189
1301,109.126
1302,109.096
1303,109.076
1304,109.16
1305,109.071
1306,109.09
1307,109.121
1308,109.019
1309,109.101
1310,108.999
1311,109.123
1312,109.103
1313,109.158
1314,109.133
1315,108.982
1316,109.182
1317,109.095
1318,109.015
1319,109.129
1320,109.134
1321,109.088
1322,109.061
1323,109.106
1324,109.066
1325,109.165
1326,109.085
1327,109.079
1328,109.12
1329,109.084
1330,108.992
1331,109.074
1332,109.142
1333,109.165
1334,109.15
1335,109.161
1336,109.177
1337,109.223
1338,109.134
1339,109.129
1340,109.094
1341,109.017
1342,109.09
1343,109.13
1344,109.074
1345,109.06
1346,109.127
1347,109.044
1348,109.108
1349,109.116
1350,109.067
1351,109.158
1352,109.061
1353,103.117
1354,109.138
1355,109.061
1356,109.198
1357,108.956
1358,109.147
1359,108.984
1360,109.115
